food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Roasted Paneer with Mixed Vegetables,320,15,16,20,4,450,8,0,0.6,10,0.3,0.4,3,0.3,60,150,2.5,50,200,300,250,2.5,25,500,1,Vegetarian,Dinner,Male
Lauki (Bottle Gourd) Curry with Roti,280,40,8,6,5,350,7,0,0.3,10,0.3,0.3,2.5,0.2,50,100,2,40,150,200,180,1.8,15,350,2,Vegetarian,Dinner,Male
Methi and Spinach Curry with Rice,330,45,10,8,6,500,10,0,0.4,12,0.4,0.4,3,0.4,70,120,3.5,60,180,300,220,2,25,400,2,Vegetarian,Dinner,Male
Mixed Vegetarianetable Soup,150,12,5,4,3,400,8,0,0.3,10,0.2,0.2,1.5,0.2,40,50,1.5,25,80,150,180,1,10,150,1,Vegetarian,Dinner,Male
Dal Palak with Roti,350,45,12,8,7,500,10,0,0.4,12,0.4,0.4,3,0.4,70,120,3.5,60,180,300,220,2,25,400,2,Vegetarian,Dinner,Male
Overnight Soaked Oats with Chia Seeds,250,40,8,8,7,500,10,0,0.6,12,0.4,0.4,2.5,0.3,60,150,2.5,70,180,300,150,2,50,600,4,Vegetarian,Breakfast,Female
Vegetarianetable Smoothie with Kale,150,20,5,4,5,500,15,0,0.3,25,0.3,0.3,2,0.2,50,100,2,50,100,250,180,1.8,20,200,2,Vegetarian,Breakfast,Female
Sprout Salad with a Dash of Lemon,200,25,10,5,6,300,20,0,0.4,15,0.4,0.4,2.5,0.3,60,120,3,60,160,220,150,2.5,15,250,3,Vegetarian,Breakfast,Female
Ragi Porridge with a Few Almonds,220,35,6,8,4,400,8,0,0.5,10,0.3,0.3,2,0.2,40,100,2.5,40,140,200,180,1.5,20,300,2,Vegetarian,Breakfast,Female
Poha with Peanuts and Vegies,250,35,6,10,4,350,7,0,0.4,8,0.3,0.3,2.5,0.3,50,100,2.5,50,180,200,180,1.8,15,350,2,Vegetarian,Breakfast,Female
Moong Dal Chilla with Tomato Chutney,270,30,12,8,5,400,10,0,0.4,10,0.3,0.4,2.5,0.3,60,120,3.5,60,180,250,200,2,20,400,2,Vegetarian,Breakfast,Female
Idli with a Small Portion of Sambar,300,40,8,8,5,350,8,0,0.3,8,0.2,0.3,2,0.2,50,100,2.5,40,150,200,180,1.8,10,300,2,Vegetarian,Breakfast,Female
Besan Chilla with Chopped Vegies,280,32,12,8,6,400,12,0,0.4,15,0.3,0.4,2.5,0.3,60,120,3.5,60,180,300,200,2,20,400,2,Vegetarian,Breakfast,Female
Masala Oats with Spinach and Carrots,260,38,8,6,5,400,10,0,0.4,12,0.3,0.4,2.5,0.3,60,120,3.5,60,180,300,200,2,20,400,2,Vegetarian,Breakfast,Female
Multigrain Toast with Avocado and Boiled Egg,350,30,14,18,6,450,8,100,0.5,10,0.3,0.4,3.5,0.3,70,150,3,70,200,300,200,2.5,30,500,1,Vegetarian,Breakfast,Female
Moong Dal Khichdi with Vegies,300,45,12,5,7,600,10,0,0.5,15,0.3,0.4,2.5,0.3,80,150,4,80,180,250,200,2,25,400,2,Vegetarian,Lunch,Female
Methi Dal with Brown Rice,350,50,12,8,8,800,12,0,0.6,20,0.4,0.4,3,0.4,90,170,5,90,200,300,250,2.2,30,450,3,Vegetarian,Lunch,Female
Grilled Fish with Sautéed Greens,400,10,30,20,4,500,15,200,1,18,0.4,0.5,5,0.5,100,200,2.5,90,250,350,180,2.5,200,400,1,Non-Vegetarian,Lunch,Female
Rajma Salad with Light Dressing,280,35,12,8,9,600,8,0,0.4,15,0.3,0.4,2.5,0.3,80,150,4,80,220,200,150,2,25,350,2,Vegetarian,Lunch,Female
Mixed Vegetarianetable Salad with Cottage Cheese,270,20,10,12,6,700,20,0,0.6,30,0.3,0.4,2.5,0.3,70,150,3.5,70,200,300,180,2.2,15,300,2,Vegetarian,Lunch,Female
Palak Paneer with One Roti,350,30,14,15,5,800,10,100,0.6,20,0.3,0.4,3,0.3,80,180,4.5,90,250,300,200,2.5,20,400,1,Vegetarian,Lunch,Female
Chole with a Small Serving of Jeera Rice,380,50,12,10,8,700,15,0,0.5,15,0.3,0.4,2.5,0.3,70,150,4,80,200,300,200,2,25,400,2,Vegetarian,Lunch,Female
Vegetarianetable Pulao with Curd,400,60,10,8,6,600,10,0,0.5,12,0.3,0.4,2.5,0.3,60,140,3.5,70,180,250,200,2,20,350,2,Vegetarian,Lunch,Female
Chicken Soup with Salad,250,15,20,8,3,400,8,100,0.3,10,0.2,0.3,2.5,0.2,50,100,2,50,150,180,150,2,100,200,1,Non-Vegetarian,Lunch,Female
Soya Chunk Curry with Small Portion of Rice,370,45,18,10,7,600,10,0,0.5,15,0.3,0.4,2.5,0.3,80,150,4.5,80,200,300,200,2.5,25,400,2,Vegetarian,Lunch,Female
Masoor Dal Soup with Stir-fried Vegies,300,35,12,8,8,700,12,0,0.6,20,0.3,0.4,2.5,0.3,80,160,4.5,80,200,300,250,2.2,20,400,2,Vegetarian,Dinner,Female
Cabbage and Carrot Stir-fry,120,12,3,6,5,500,10,0,0.4,25,0.2,0.2,1,0.2,50,90,1.5,40,100,150,100,1,10,200,1,Vegetarian,Dinner,Female
Grilled Paneer with Mixed Greens,250,10,14,15,3,800,8,0,0.5,30,0.3,0.4,2.5,0.3,70,150,3.5,80,200,300,180,2.2,15,350,1,Vegetarian,Dinner,Female
Fish Tikka with Roasted Vegetables,400,10,30,20,4,500,15,200,1,18,0.4,0.5,5,0.5,100,200,2.5,90,250,350,180,2.5,200,400,1,Non-Vegetarian,Dinner,Female
Bottle Gourd Curry with Roti,300,35,8,8,6,600,10,0,0.5,20,0.3,0.4,2.5,0.3,80,150,3.5,80,200,250,200,2,20,300,2,Vegetarian,Dinner,Female
Mixed Vegetarianetable Soup with Lemon,150,20,5,4,5,600,12,0,0.4,25,0.2,0.3,1.5,0.2,60,100,2,50,120,150,150,1.5,10,250,1,Vegetarian,Dinner,Female
Palak Curry with One Phulka,280,35,10,8,6,800,10,100,0.6,20,0.3,0.4,3,0.3,80,170,4,90,220,300,200,2.5,15,300,1,Vegetarian,Dinner,Female
Methi Sabzi with Dal and Salad,350,40,12,10,8,800,10,0,0.6,30,0.3,0.4,2.5,0.3,70,150,4.5,90,220,300,200,2.2,20,400,2,Vegetarian,Dinner,Female
Tandoori Chicken with Green Salad,400,15,35,18,5,500,8,150,1,12,0.3,0.4,4,0.4,90,200,3.5,100,250,300,180,2.5,150,350,1,Non-Vegetarian,Dinner,Female
Broccoli and Mushroom Stir-fry with Roti,320,35,12,10,8,700,15,0,0.6,30,0.3,0.4,2.5,0.3,80,150,4.5,80,200,300,200,2.5,20,350,2,Vegetarian,Dinner,Female
Boiled Eggs with a Small Fruit Salad,180,15,12,10,2,500,15,50,2,20,0.1,0.3,0.5,0.1,20,50,1.5,10,100,200,70,1,0,0,10,Non-Veg,Breakfast,Male
Low-Fat Greek Yogurt with Flaxseeds,120,10,10,4,3,50,5,0,0.5,2,0.1,0.2,0.4,0.1,15,100,0.5,20,100,150,50,0.5,100,0,6,Veg,Breakfast,Male
Avocado Slices on Whole-Grain Toast,200,20,6,12,4,300,8,0,2,10,0.1,0.2,1,0.1,15,50,1,25,100,150,150,1,50,0,2,Veg,Breakfast,Male
Ragi Pancakes with a Dash of Honey,220,35,5,5,5,500,5,0,1,15,0.2,0.2,1.5,0.1,25,100,1,40,150,100,50,0.5,0,0,8,Veg,Breakfast,Male
Cottage Cheese and Cucumber Wrap,250,20,15,10,2,300,5,0,0.5,2,0.1,0.2,0.5,0.1,10,100,0.5,30,100,150,200,1,0,0,2,Veg,Breakfast,Male
Egg White Omelet with Herbs,150,2,12,3,1,200,5,50,0.5,5,0.1,0.2,0.5,0.1,10,50,0.5,10,100,150,70,0.5,0,0,0,Non-Veg,Breakfast,Male
Oats with Almond Milk and a Pinch of Cinnamon,180,30,5,4,4,200,5,0,0.5,2,0.2,0.2,0.5,0.1,20,100,2,40,150,200,50,0.5,50,0,2,Veg,Breakfast,Male
Whole-Grain Cereal with Low-Fat Milk,190,35,6,2,3,500,5,0,0.5,5,0.2,0.2,1,0.1,15,100,1,20,100,200,150,0.5,0,0,8,Veg,Breakfast,Male
Fresh Fruit Smoothie with Protein Powder,250,20,15,5,3,1000,10,0,1,20,0.2,0.3,1,0.1,30,100,1.5,20,100,200,50,0.5,0,0,10,Veg,Breakfast,Male
Chia and Almond Milk Pudding,180,15,6,9,4,300,5,0,2,5,0.1,0.2,0.5,0.1,10,100,1.5,40,100,150,50,0.5,300,0,2,Veg,Breakfast,Male
Grilled Chicken Breast with Steamed Broccoli,300,10,35,10,5,1000,25,200,3,50,0.1,0.3,10,0.3,25,40,2,40,300,400,120,2.5,150,0,2,Non-Veg,Lunch,Male
"Quinoa Salad with Cucumber, Tomato, and Lemon Dressing",250,35,8,8,6,200,20,0,2,20,0.2,0.2,2,0.2,30,50,2,60,150,300,10,1,0,0,4,Veg,Lunch,Male
Stir-Fried Mushrooms and Zucchini with Tofu,220,12,12,12,5,500,15,0,3,40,0.1,0.2,1,0.2,20,200,1.5,30,200,400,250,1.5,50,0,3,Veg,Lunch,Male
Baked Fish with a Side of Mixed Greens,270,10,25,10,3,300,15,200,2,10,0.1,0.2,7,0.2,20,50,1,30,200,400,100,1.5,150,0,1,Non-Veg,Lunch,Male
Moong Dal Soup with Roasted Veggies,200,25,10,5,6,800,20,0,2,20,0.3,0.2,2,0.2,30,60,2,50,150,300,10,1,0,0,4,Veg,Lunch,Male
Grilled Shrimp with Cucumber Salad,240,8,20,12,2,150,10,150,2,15,0.1,0.2,6,0.1,10,30,1,20,100,300,150,1.5,200,0,2,Non-Veg,Lunch,Male
Vegetable Kebab with Hummus,250,20,10,10,6,500,20,0,2,30,0.1,0.2,2,0.2,25,100,2.5,50,200,300,20,1.5,0,0,3,Veg,Lunch,Male
Sautéed Spinach with Garlic and Cottage Cheese,200,10,12,8,4,1000,10,0,1,50,0.1,0.2,1,0.1,25,200,2,30,150,300,100,1,0,0,2,Veg,Lunch,Male
Roasted Eggplant with a Light Yogurt Sauce,180,12,6,8,5,800,15,0,2,40,0.2,0.2,1,0.2,30,100,1.5,40,200,400,250,1.5,0,0,1,Veg,Lunch,Male
Clear Vegetable Soup with a Whole-Wheat Roti,150,20,5,3,4,800,20,0,2,30,0.2,0.2,1,0.1,15,60,1,20,100,300,10,0.5,0,0,2,Veg,Lunch,Male
Chicken Breast with Sautéed Asparagus,300,5,35,10,4,800,10,200,2,50,0.1,0.3,8,0.3,25,40,2,40,300,400,120,2.5,150,0,1,Non-Veg,Dinner,Male
Grilled Paneer with Steamed Cauliflower,250,8,15,12,5,1000,15,0,1,40,0.1,0.2,1,0.1,20,200,1.5,40,200,300,100,1,0,0,2,Veg,Dinner,Male
Mixed Vegetable Curry with Millet Roti,300,40,10,8,6,1000,20,0,2,50,0.2,0.2,1.5,0.2,30,150,2,50,200,300,20,1.5,0,0,4,Veg,Dinner,Male
Lentil Soup with a Side of Kale Chips,220,20,12,6,8,800,25,0,2,30,0.2,0.2,2,0.2,30,100,2,40,150,300,20,1,0,0,3,Veg,Dinner,Male
Roasted Salmon with Lemon and Dill,280,0,25,12,2,300,10,200,1,10,0.1,0.2,6,0.1,10,30,1,20,100,300,150,1.5,200,0,0,Non-Veg,Dinner,Male
Grilled Turkey Patties with Salad,240,5,20,10,2,200,8,150,1,15,0.1,0.2,6,0.1,10,50,1.5,30,150,300,150,1.5,100,0,0,Non-Veg,Dinner,Male
Tofu and Bok Choy Stir-Fry,200,10,12,8,4,800,15,0,3,40,0.1,0.2,1,0.2,20,200,1.5,30,200,400,250,1.5,50,0,3,Veg,Dinner,Male
Clear Chicken Broth with Spinach,150,2,15,4,2,500,10,200,1,20,0.1,0.2,5,0.1,10,40,1,20,100,300,120,1,50,0,0,Non-Veg,Dinner,Male
Baked Zucchini Boats with Low-Fat Cheese,200,8,10,10,4,1000,10,0,2,40,0.1,0.2,1,0.1,15,100,1.5,30,150,300,10,1,0,0,2,Veg,Dinner,Male
Stir-Fried Bell Peppers with Garlic and Olive Oil,180,10,5,12,3,800,10,0,2,30,0.1,0.2,1,0.1,10,50,1,20,100,200,10,0.5,0,0,2,Veg,Dinner,Male
Spinach and Egg White Scramble with Toast,200,12,15,10,5,1000,15,0,2,40,0.1,0.2,1,0.2,25,150,2.5,30,150,300,10,1,0,0,2,Non-Veg,Breakfast,Female
"Smoothie with Kale, Pineapple, and Coconut Water",180,35,5,4,4,500,30,0,2,30,0.2,0.2,1.5,0.2,30,60,2,20,150,300,20,1,0,0,4,Veg,Breakfast,Female
Low-Fat Cottage Cheese with Sliced Peaches,180,15,10,5,3,500,10,0,1,20,0.1,0.2,1,0.1,30,100,2,40,150,200,100,1,0,0,6,Veg,Breakfast,Female
Ragi Dosa with Tomato Chutney,220,35,7,6,4,800,25,0,3,40,0.1,0.2,2,0.2,30,200,3,50,200,350,150,1.5,0,0,5,Veg,Breakfast,Female
Berry Salad with a Sprinkle of Chia Seeds,150,20,5,5,6,500,50,0,3,20,0.2,0.1,1,0.1,15,30,1,20,100,250,10,0.5,10,0,8,Veg,Breakfast,Female
Vegetable Soup with Quinoa Flakes,170,30,7,3,5,800,30,0,2,20,0.2,0.1,2,0.1,25,150,1,40,100,200,50,1,0,0,5,Veg,Breakfast,Female
Overnight Oats with a Touch of Honey,220,30,6,8,5,800,15,0,3,50,0.2,0.2,2,0.2,30,200,1.5,40,150,300,50,1.5,5,0,8,Veg,Breakfast,Female
Almond Butter Spread on Rye Bread,250,18,10,12,4,500,5,0,2,40,0.1,0.2,1.5,0.2,15,50,1.5,30,150,200,150,1.5,0,0,4,Veg,Breakfast,Female
Cucumber and Mint Smoothie,120,25,4,2,3,200,20,0,1,30,0.2,0.1,1,0.1,10,60,1,10,100,250,5,0,0,0,6,Veg,Breakfast,Female
Whole-Grain Waffles with Blueberries,230,40,6,6,5,500,25,0,3,40,0.1,0.2,1.5,0.2,30,150,2,40,200,300,100,1,0,0,5,Veg,Breakfast,Female
Lemon Herb Grilled Fish with a Green Salad,250,10,22,12,4,1000,25,0,2,30,0.1,0.2,6,0.2,20,50,3,30,200,300,200,1,200,0,3,Non-Veg,Lunch,Female
Chickpea and Spinach Salad with Light Dressing,180,25,8,6,5,500,35,0,2,40,0.2,0.2,1.5,0.2,40,150,2,30,100,300,50,0.5,0,0,3,Veg,Lunch,Female
Cabbage Rolls Stuffed with Quinoa,210,35,9,5,7,800,15,0,2,20,0.1,0.2,1.5,0.2,35,100,2,40,150,250,150,1,0,0,5,Veg,Lunch,Female
Steamed Vegetables with Lentil Curry,220,35,10,6,6,800,30,0,2,40,0.1,0.2,1,0.2,30,150,2,40,200,350,20,1,0,0,5,Veg,Lunch,Female
Grilled Chicken Tenders with a Light Citrus Marinade,250,10,20,12,4,500,10,100,1,20,0.1,0.2,6,0.1,25,50,1.5,30,200,400,200,1.5,0,0,2,Non-Veg,Lunch,Female
Paneer Bhurji with a Side of Sautéed Veggies,270,8,20,14,5,800,20,0,3,50,0.1,0.2,1.5,0.2,20,200,2,40,150,300,100,1.5,0,0,6,Veg,Lunch,Female
Roasted Pumpkin Soup with a Small Whole-Wheat Cracker,200,30,6,4,8,500,15,0,2,40,0.1,0.2,1,0.1,20,100,1,30,150,250,10,0.5,0,0,4,Veg,Lunch,Female
Zucchini Noodles with Tomato and Basil Sauce,160,25,5,4,6,500,25,0,3,40,0.1,0.2,2,0.2,30,100,1,30,100,250,50,1,0,0,4,Veg,Lunch,Female
"Cucumber, Tomato, and Feta Cheese Salad",180,12,8,10,3,800,20,0,3,30,0.2,0.1,1.5,0.1,25,150,2,40,200,300,100,1.5,0,0,5,Veg,Lunch,Female
Grilled Tofu Wrap with Lettuce and Hummus,200,15,15,10,5,500,25,0,2,30,0.1,0.2,1,0.2,30,100,2,30,150,200,150,1,0,0,4,Veg,Lunch,Female
Broccoli and Almond Stir-Fry,180,15,8,12,6,800,30,0,4,80,0.1,0.2,1,0.2,25,100,2,40,150,300,100,1.5,100,50,4,Veg,Dinner,Female
Spinach and Lentil Soup with Garlic Toast,220,30,10,6,8,800,30,0,2,40,0.1,0.2,1,0.2,30,150,2,30,200,350,200,1.5,0,0,5,Veg,Dinner,Female
Grilled Salmon with a Side of Boiled Carrots,270,10,25,15,5,1500,30,0,3,20,0.2,0.3,6,0.2,40,50,3,40,200,400,300,2,200,10,4,Non-Veg,Dinner,Female
Stir-Fried Vegetables with Tempeh,200,15,15,10,5,500,25,0,3,30,0.2,0.3,1.5,0.2,35,100,2,40,150,250,100,1,0,0,3,Veg,Dinner,Female
Steamed Fish with Lemon and Herbs,230,10,20,12,4,1000,30,0,2,20,0.1,0.2,6,0.2,25,50,2,30,150,350,250,1.5,100,0,4,Non-Veg,Dinner,Female
Clear Chicken Soup with a Dash of Pepper,150,8,15,6,2,500,10,100,1,20,0.1,0.2,6,0.1,20,50,1.5,40,200,400,150,1.5,0,0,2,Non-Veg,Dinner,Female
Roasted Sweet Potatoes with a Light Yogurt Dip,220,45,6,5,7,800,25,0,3,50,0.2,0.2,1.5,0.2,35,150,2,40,200,300,150,2,0,0,4,Veg,Dinner,Female
Mushroom Soup with Whole-Grain Crackers,200,30,7,6,6,500,25,0,3,20,0.2,0.3,1.5,0.2,30,150,2,30,150,250,50,1.5,0,0,5,Veg,Dinner,Female
Sautéed Kale with Garlic and Olive Oil,180,12,6,10,6,500,50,0,3,80,0.1,0.2,1,0.1,30,200,2,40,150,300,150,1,0,0,4,Veg,Dinner,Female
Quinoa and Black Bean Bowl with Fresh Herbs,230,35,10,8,7,800,25,0,3,40,0.2,0.3,2,0.2,25,150,2,30,200,350,200,1.5,0,0,6,Veg,Dinner,Female
Moong dal chilla with green chutney,180,30,10,4,4,500,10,0,1,10,0.2,0.3,0.8,0.2,90,80,3,40,100,350,500,1,50,100,5,Vegetarian,Breakfast,Male
Vegetarianetable upma with minimal oil,200,35,6,6,4,250,15,0,0.5,12,0.1,0.2,0.5,0.3,100,60,2,30,80,400,300,0.5,30,70,3,Vegetarian,Breakfast,Male
Ragi dosa with coconut chutney,220,40,6,7,5,150,5,0,1.5,15,0.2,0.3,1,0.2,80,70,3,50,120,250,600,0.4,40,60,2,Vegetarian,Breakfast,Male
"Masala oats with Vegies (carrots, spinach)",230,40,8,5,6,500,20,0,1,25,0.1,0.2,1,0.5,90,60,4,45,90,300,400,1,50,80,4,Vegetarian,Breakfast,Male
Idli made with oats or ragi with sambhar,150,30,5,3,3,300,10,0,0.5,10,0.1,0.2,0.5,0.3,70,50,2,30,70,350,300,0.5,40,90,2,Vegetarian,Breakfast,Male
Multigrain toast with avocado spread,250,30,7,12,6,150,12,0,3,40,0.1,0.2,1,0.3,100,30,5,45,120,350,500,2,100,150,2,Vegetarian,Breakfast,Male
Greek yogurt with chia seeds,180,15,12,6,2,250,5,0,0.5,10,0.1,0.2,0.8,0.2,100,50,3,30,100,250,150,0.5,50,70,5,Vegetarian,Breakfast,Male
Besan chilla with spinach and tomato,200,35,8,5,6,500,15,0,1,25,0.2,0.3,1.5,0.3,90,80,3,35,90,300,400,0.4,60,100,4,Vegetarian,Breakfast,Male
"Poha with added Vegetables (carrot, peas) and peanuts",220,35,7,8,5,400,15,0,1,10,0.2,0.3,0.5,0.4,80,60,2,50,100,250,350,1,50,90,4,Vegetarian,Breakfast,Male
"Vegetarianetable smoothie with cucumber, spinach, and ginger",150,30,5,2,5,500,20,0,1,30,0.1,0.2,0.8,0.2,70,50,2,40,80,250,300,0.4,40,80,3,Vegetarian,Breakfast,Male
Palak dal with a small portion of brown rice,230,40,9,5,7,1000,25,0,1.5,50,0.2,0.3,1.2,0.5,120,80,4,60,140,350,500,1,40,80,4,Vegetarian,Lunch,Male
Mixed Vegetarianetable sabzi with 1-2 whole wheat rotis,250,40,8,6,7,800,25,0,1.5,30,0.2,0.3,1.2,0.5,100,90,3,55,120,400,500,1,50,70,5,Vegetarian,Lunch,Male
Grilled chicken with a side of salad,300,5,30,12,3,500,10,0,2,0,0.2,0.2,5,0.4,150,70,2,30,200,400,600,1,80,150,2,Non-Vegetarian,Lunch,Male
Rajma (kidney bean) curry with quinoa,350,50,18,8,10,1200,30,0,3,50,0.2,0.3,2,0.3,200,60,5,70,150,450,400,1,50,80,3,Vegetarian,Lunch,Male
Chana masala (chickpea curry) with one phulka,250,40,10,6,8,600,20,0,1,30,0.2,0.3,1.2,0.4,100,60,4,55,120,350,500,0.5,60,100,5,Vegetarian,Lunch,Male
Fish curry with steamed cauliflower rice,280,10,25,15,3,600,10,0,2,20,0.2,0.3,3,0.5,150,90,5,40,100,400,700,1,80,200,2,Non-Vegetarian,Lunch,Male
Methi (fenugreek) dal with a small portion of brown rice,230,40,8,5,6,1000,25,0,1,50,0.2,0.3,1.2,0.5,120,80,4,60,140,350,500,1,40,80,4,Vegetarian,Lunch,Male
"Stir-fried tofu with bell peppers, broccoli, and spinach",250,20,18,15,7,1000,35,0,2,50,0.2,0.3,1,0.4,200,80,4,70,150,350,500,1,80,120,3,Vegetarian,Lunch,Male
Baingan bharta (roasted eggplant) with whole wheat roti,250,35,7,10,8,500,15,0,1,30,0.2,0.3,1,0.5,100,70,3,50,100,300,400,0.5,60,90,4,Vegetarian,Lunch,Male
Tandoori chicken with a green salad,320,10,30,18,5,500,10,0,3,0,0.2,0.2,6,0.5,150,60,5,40,200,400,700,2,90,160,2,Non-Vegetarian,Lunch,Male
Grilled fish with steamed Vegies,300,15,30,10,6,800,25,0,2,20,0.3,0.4,5,0.4,150,90,5,40,100,400,600,2,70,180,3,Non-Vegetarian,Dinner,Male
Mixed Vegetarianetable soup with a side of stir-fried greens,200,30,8,5,7,800,25,0,1,30,0.2,0.3,1,0.4,100,60,3,40,90,250,300,0.5,30,70,5,Vegetarian,Dinner,Male
Methi chicken curry with a small serving of quinoa,320,25,25,15,6,1000,35,0,2.5,30,0.2,0.3,5,0.4,200,80,4,50,180,400,600,2,90,160,3,Non-Vegetarian,Dinner,Male
Tofu stir-fry with bell peppers and mushrooms,250,20,15,10,6,1000,20,0,1.5,40,0.2,0.3,1,0.5,150,80,4,60,120,300,450,1,80,100,4,Vegetarian,Dinner,Male
Paneer bhurji with one multigrain roti,280,25,15,15,6,500,20,0,2,20,0.2,0.3,1.5,0.4,120,100,5,60,150,350,400,1,70,120,4,Vegetarian,Dinner,Male
Bottle gourd (lauki) sabzi with a side of dal,220,30,10,8,7,500,25,0,1,30,0.1,0.2,0.8,0.3,100,80,4,50,100,300,400,1,60,90,3,Vegetarian,Dinner,Male
Moong dal soup with a cucumber and tomato salad,180,30,8,4,5,500,20,0,1,20,0.2,0.3,0.8,0.3,90,70,3,40,80,250,350,1,50,70,4,Vegetarian,Dinner,Male
Bhindi (okra) masala with a small portion of rice,250,40,6,9,6,500,15,0,1,30,0.2,0.3,0.6,0.3,80,60,3,40,100,300,450,0.5,70,120,3,Vegetarian,Dinner,Male
"Vegetarianetable stew with low-carb Vegetables (like zucchini, cauliflower)",150,25,6,7,8,600,25,0,1,40,0.2,0.3,1,0.4,100,80,3,50,100,300,350,1,60,90,2,Vegetarian,Dinner,Male
Chicken and spinach curry with one roti,300,25,25,12,6,500,15,0,2,25,0.2,0.3,5,0.5,150,80,4,60,180,400,600,2,80,150,3,Non-Vegetarian,Dinner,Male
Scrambled Egg Whites with Spinach,160,5,20,8,3,500,20,0,1,30,0.1,0.2,1.5,0.1,40,100,1.5,30,150,350,100,1.5,0,0,2,Non-Veg,Breakfast,Male
Chia Seed Pudding with Unsweetened Almond Milk,180,10,6,12,9,500,10,0,2,50,0.1,0.2,1,0.1,30,150,2,40,150,250,0,2,0,0,1,Veg,Breakfast,Male
Quinoa Porridge with Berries,220,40,6,5,6,600,15,0,1,15,0.2,0.3,2,0.1,50,150,2,30,150,300,50,1.5,0,0,8,Veg,Breakfast,Male
Methi (Fenugreek) Paratha with Curd,250,35,8,9,7,1000,10,0,2,40,0.2,0.2,2,0.2,50,150,2,30,250,350,200,1.5,0,0,4,Veg,Breakfast,Male
Oats and Almond Butter Smoothie,230,25,8,12,6,500,10,0,3,30,0.2,0.3,1.5,0.2,40,150,2,40,200,350,100,2,50,30,5,Veg,Breakfast,Male
Whole Wheat Toast with Tomato and Avocado,250,30,6,12,8,800,20,0,3,40,0.1,0.2,1,0.2,50,200,2,20,250,350,100,1.5,0,0,6,Veg,Breakfast,Male
Vegetable Poha with a Dash of Lemon,220,40,6,7,6,400,20,0,2,40,0.1,0.2,1,0.1,35,150,2,40,200,300,50,1.5,0,0,5,Veg,Breakfast,Male
Cottage Cheese and Cucumber Salad,180,12,12,8,3,500,20,0,2,20,0.2,0.2,1,0.1,25,150,1.5,30,200,300,100,2,0,0,3,Veg,Breakfast,Male
Greek Yogurt with Walnuts and Cinnamon,200,15,12,9,3,800,10,0,1,10,0.2,0.2,1.5,0.1,30,100,2,40,150,350,50,1.5,0,0,6,Non-Veg,Breakfast,Male
Moong Dal Chilla with Tomato and Cucumber,150,25,10,4,6,500,30,0,2,30,0.1,0.2,2,0.2,50,100,1.5,40,150,300,100,2,0,0,5,Veg,Breakfast,Male
Grilled Salmon with Steamed Broccoli,250,10,25,15,5,1500,30,0,3,20,0.2,0.3,6,0.2,40,50,3,40,200,400,300,2,200,10,4,Non-Veg,Lunch,Male
Rajma Salad with a Lemon Dressing,220,35,9,5,8,800,25,0,3,40,0.2,0.3,2,0.2,50,150,2,30,150,350,100,1.5,0,0,6,Veg,Lunch,Male
Chana Masala with a Side of Quinoa,350,45,15,9,10,1000,20,0,3,50,0.2,0.3,1.5,0.2,40,150,3,30,250,400,200,2,0,0,8,Veg,Lunch,Male
Stir-Fried Tofu with Broccoli and Mushrooms,230,18,18,12,6,800,20,0,3,40,0.2,0.3,2,0.2,30,100,3,40,200,350,100,1.5,0,0,5,Veg,Lunch,Male
Grilled Chicken with Roasted Vegetables,300,15,30,10,6,1000,30,0,4,40,0.2,0.3,6,0.2,50,150,3,40,200,400,250,2,100,10,4,Non-Veg,Lunch,Male
Tofu and Spinach Stir-Fry with Brown Rice,280,35,18,9,8,800,25,0,3,50,0.2,0.3,2.5,0.2,30,100,3,30,250,350,200,2,0,0,6,Veg,Lunch,Male
Paneer Bhurji with a Multigrain Roti,320,30,20,12,5,1000,20,0,3,50,0.2,0.3,1,0.2,30,100,3,40,250,350,200,1.5,0,0,4,Non-Veg,Lunch,Male
Lentil Soup with a Side of Cucumber Salad,200,30,12,6,7,800,25,0,3,40,0.1,0.2,1,0.2,50,150,2,40,200,350,100,1.5,0,0,5,Veg,Lunch,Male
Palak (Spinach) Dal with a Small Portion of Brown Rice,250,40,15,6,8,800,30,0,3,40,0.2,0.3,1.5,0.2,50,150,2,30,200,350,100,2,0,0,4,Veg,Lunch,Male
Baked Fish with Sautéed Kale,250,10,25,15,5,1500,35,0,4,50,0.2,0.3,6,0.2,40,100,3,30,250,400,200,2,200,15,4,Non-Veg,Dinner,Male
Chicken and Cauliflower Stir-Fry with Lemon,220,12,28,8,5,1000,25,0,2,30,0.1,0.3,6,0.2,40,100,3,30,200,350,100,2,0,0,6,Non-Veg,Dinner,Male
Baingan Bharta with a Side of Whole Wheat Roti,280,40,7,10,8,500,25,0,3,50,0.1,0.3,1.5,0.2,50,150,2,30,150,350,150,2,0,0,5,Veg,Dinner,Male
